id,website_id,title,T2_S_score,T2_rank
20725735,2268,যোগ-বিয়োগের ফাঁদে ফেলে অর্থ লুট,84.61538462,1.0
20725734,2268,অভিযোগ আমলে না নিলে ফেসবুক ইউটিউব বন্ধ করে দেয়া হবে,84.61538462,1.0
20725733,2268,সিলেটে রওশন ও জব্বারের সম্পদের পাহাড়,84.61538462,1.0
20725786,2268,রামগঞ্জ প্রেস ক্লাবের ইফতার মাহফিল,84.61538462,1.0
20725768,2268,সুনামগঞ্জে দোকানিকে ছুরিকাঘাতে হত্যা,84.61538462,1.0
20725788,2268,কলাপাড়ায় আওয়ামী লীগ নেতার চাঁদা দাবির অভিযোগ,84.61538462,1.0
20725789,2268,‘সরকারের অবৈধ কর্মকাণ্ডের বিরুদ্ধে সাংবাদিকদের কলাম বিরামহীনভাবে চালাতে হবে’,84.61538462,1.0
20730022,2268,বিদ্যুৎ উন্নয়ন বোর্ডের অফিসিয়াল ফেসবুক পেজ হ্যাক করা হয়েছে,84.61538462,1.0
20730021,2268,সন্ত্রাস ছাড়া সরকার টিকতে পারবে না: গয়েশ্বর,84.61538462,1.0
20729618,2268,প্রথমবার উপস্থাপনায় ইমরান,84.61538462,1.0
20729617,2268,বুয়েটে রাজনীতি নিষিদ্ধের সিদ্ধান্ত স্থগিত,84.61538462,1.0
20729616,2268,সুন্দোরা ঈদে বিশাল মূল্যছাড়!,84.61538462,1.0
20729615,2268,ভাই হত্যার বিচার চাইলেন শাহনূর,84.61538462,1.0
20729614,2268,"‘মোদি থামবে না, দুর্নীতির বিরুদ্ধে অভিযান চলবে’",84.61538462,1.0
20729613,2268,কেজরিওয়ালকে ২ সপ্তাহের জন্য জেলে পাঠালো আদালত,84.61538462,1.0
20728698,2268,মানব চামড়া দিয়ে বাঁধানো বই সরিয়ে দেয়া হলো হার্ভার্ড লাইব্রেরি থেকে,84.61538462,1.0
20728697,2268,বাস ভাড়া কমতে পারে কিলোমিটারে ৩ পয়সা,84.61538462,1.0
20728696,2268,"বেনজীরের সম্পদ বিস্ময়কর বিষয় নয়, এই রকম ঘটনা এখন স্বাভাবিক",84.61538462,1.0
20728695,2268,শ্রীপুরের লাইফ কেয়ার হাসপাতালে সিজার করতে এসে এক প্রসূতির মায়ের মৃত্যুর অভিযোগ,84.61538462,1.0
20728694,2268,নেপালের হোকসি যেভাবে কিডনি ভ্যালি,84.61538462,1.0
20728171,2268,মোহাম্মদপুরে অস্ত্রসহ কিশোর গ্যাংয়ের ১৬ সদস্য গ্রেপ্তার,84.61538462,1.0
20728170,2268,শীর্ষে উঠে শিরোপা জয়ের হুঙ্কার লিভারপুল কোচ ক্লপের,84.61538462,1.0
20730023,2268,নির্যাতন করে বিএনপিকে দমিয়ে রাখা যাবে না: আমিনুল,84.61538462,1.0
20730025,2268,"রাজস্ব বাড়বে ১০হাজার কোটি, অকাল মৃত্যু রুখবে ১১ লাখ",84.61538462,1.0
20728168,2268,এমবাপ্পের প্রশ্নে ‘বিরক্ত’ পিএসজি কোচ এনরিকে,84.61538462,1.0
20730026,2268,খালেদা জিয়াকে হাসপাতালে দেখতে ফখরুল-আব্বাস,84.61538462,1.0
20732378,2268,শিক্ষাঙ্গনকে কলুষিত করেছে ছাত্রলীগ: এবি পার্টি,84.61538462,1.0
20732377,2268,আদালতের রায়ে আবরারের হত্যাকারীদের উৎসাহিত করা হয়েছে : রিজভী,84.61538462,1.0
20732376,2268,বুয়েটের ছাত্রদের সঙ্গে অন্যায় হলে ছাত্র-শিক্ষক-অভিভাবকদের নিয়ে রাজপথে নামবো: নুর,84.61538462,1.0
20731590,2268,ইসলামের বিরুদ্ধে সিন্ডিকেটভিত্তিক অপপ্রচার চলছে: চরমোনাই পীর,84.61538462,1.0
20731589,2268,ক্যাম্পাসের ভিন্ন মতালম্বী সংগঠনকে কাজ করতে দিচ্ছেনা ছাত্রলীগ: শিবির সভাপতি,84.61538462,1.0
20731588,2268,কিলোমিটারে বাস ভাড়া কমলো ৩ পয়সা,84.61538462,1.0
20730881,2268,দেশে প্রথমবারের মতো ওমরাহ কার্ড চালু করলো ন্যাশনাল ব্যাংক,84.61538462,1.0
20730880,2268,ক্যাম্পাসকে ছাত্ররাজনীতি মুক্ত রাখতে শিক্ষকদের পাশে চান তারা,84.61538462,1.0
20730877,2268,ঢাকায় অনারের আরও নতুন দুটি আউটলেট উদ্বোধন,84.61538462,1.0
20730872,2268,বেপরোয়া গাড়ি চালানোর কারণে দুর্ঘটনা বাড়ছে: জামায়াত,84.61538462,1.0
20730871,2268,ঈদের আগে রেমিট্যান্স কমলো,84.61538462,1.0
20730869,2268,আদালতের রায় আবরারের হত্যাকারীদের উৎসাহিত করেছে: রিজভী,84.61538462,1.0
20730867,2268,এতিম ও দরিদ্রদের নিয়ে দিরাই রিপোর্টার্স ইউনিটির ইফতার,84.61538462,1.0
20730864,2268,জুয়েলারি ব্যবসায়ীদের বিশেষ আর্থিক সেবা দেবে পকেট,84.61538462,1.0
20730215,2268,ইতিহাসের পাতায় ‘স্বৈরশাসক’ হিসেবে আরওয়ামী লীগের নাম লিপিবদ্ধ থাকবে : সালাম,84.61538462,1.0
20728169,2268,তৃতীয় দিনের মতো আজও ক্লাস-পরীক্ষা বর্জন বুয়েট শিক্ষার্থীদের,84.61538462,1.0
20730024,2268,আদালতের আদেশ শিরোধার্য: বুয়েট ভিসি,84.61538462,1.0
20728167,2268,বুয়েটে ছাত্র রাজনীতি করার অনুমতি চেয়ে হাইকোর্টে রিট,84.61538462,1.0
20725796,2268,এপ্রিলে ভোক্তা ঋণে সুদ গুনতে হবে ১৪.৫৫ শতাংশ,84.61538462,1.0
20725803,2268,ঈদে শাওন-সাদিয়ার ‘ধানসিঁড়ি’,84.61538462,1.0
20725802,2268,মোশাররফ-মাহির ‘নেশার লাটিম’,84.61538462,1.0
20725801,2268,সরাইলে ৩ মাসে ৫ খুন,84.61538462,1.0
20725800,2268,সাতক্ষীরায় খাদ্যবান্ধব কর্মসূচির ১৭ বস্তা চাল উদ্ধার,84.61538462,1.0
20725799,2268,টেকনাফে এবার শিক্ষক অপহরণ ১২ লাখ টাকা মুক্তিপণ দাবি,84.61538462,1.0
20725797,2268,ক্ষমতা দেখিয়ে বুয়েটে ছাত্রলীগ,84.61538462,1.0
20725795,2268,বুয়েটে জঙ্গি রাজনীতির প্রমাণ পেলে অ্যাকশন,84.61538462,1.0
20725805,2268,৫০৮ কোটিতে বাড়ি কিনলেন লোপেজ,84.61538462,1.0
20725794,2268,দেশ শ্রীলঙ্কা হবে যারা ভেবেছিল তাদের ধারণা ভুল,84.61538462,1.0
20725793,2268,চাঁপাইনবাবগঞ্জে বীমা দাবির চেক পেয়ে খুশি শতাধিক গ্রাহক,84.61538462,1.0
20725792,2268,আর্থ-সামাজিক উন্নয়নে এডিবি’র আরও সহায়তা চেয়েছেন প্রধানমন্ত্রী,84.61538462,1.0
20725791,2268,মুগ্ধর বোলিং আর খালিদের ব্যাটিংয়ে জয় শাইনপুকুরের,84.61538462,1.0
20725790,2268,টি-টোয়েন্টি দিয়ে শুরু হচ্ছে আঞ্চলিক ক্রিকেট সংস্থা,84.61538462,1.0
20727271,2268,যশোরে বিএনপির ৪৩ নেতাকর্মীকে কারাগারে প্রেরণ,84.61538462,1.0
20725804,2268,‘আমাদের মাঝে কোনো ঝামেলা নেই’,84.61538462,1.0
20725798,2268,"সুনামগঞ্জে আগ্নেয়াস্ত্র নিয়ে চেয়ারম্যান বাহিনীর মহড়া, ভিডিও ভাইরাল",84.61538462,1.0
20727110,2268,"বিক্ষোভে উত্তাল ইসরাইল, নেতানিয়াহুর পদত্যাগ দাবি",84.61538462,1.0
20727107,2268,বকেয়া বেতনের দাবিতে সড়ক অবরোধ করে গাজীপুরে শ্রমিকদের বিক্ষোভ,84.61538462,1.0
20727270,2268,নতুন অধিনায়ক বাবরকে নিয়ে দেয়া আফ্রিদির বিবৃতিটি মিথ্যা,84.61538462,1.0
20726941,2268,"মালয়েশিয়ায় সেকেন্ড হোম গড়েছেন ৩,৬০৪ জন বাংলাদেশি",84.61538462,1.0
20727269,2268,কেন আয়ারল্যান্ড ইউরোপের মধ্যে সবচেয়ে ফিলিস্তিনপন্থী,84.61538462,1.0
20727268,2268,সিটি-আর্সেনাল মহারণ ড্র,84.61538462,1.0
20727267,2268,৯ই এপ্রিল ছুটিতে মন্ত্রিসভার না,84.61538462,1.0
20727111,2268,"গাজার নির্যাতিত শিশুদের পাশে বাংলাদেশি সংগঠন লাভ শেয়ার বিডি, ১০ হাজার ডলার অনুদান",84.61538462,1.0
20727109,2268,দৃঢ়তা দেখাচ্ছেন জাকির-তাইজুল,84.61538462,1.0
20727108,2268,তুরস্কের স্থানীয় সরকার নির্বাচনে এরদোগানের প্রার্থীদের পরাজয়,84.61538462,1.0
20727106,2268,বিলবাওকে হারিয়ে শিরোপার আরো কাছে রিয়াল,84.61538462,1.0
20727105,2268,কেন সরকারি অনুষ্ঠানে 'রেড কার্পেট' নিষিদ্ধ করেছে পাকিস্তান?,84.61538462,1.0
20727104,2268,মোহাম্মদপুরে ২৫ দিন শেকলে বেঁধে তরুণীকে সংঘবদ্ধ ধর্ষণ,84.61538462,1.0
20727103,2268,মেজাজ হারালেন সারা,84.61538462,1.0
20726943,2268,ঈদের ছুটিতে হাসপাতালে পর্যাপ্ত জনবল রাখাসহ ১২ নির্দেশনা,84.61538462,1.0
20726942,2268,আজ ঢাকার বায়ু সংবেদনশীল গোষ্ঠীর জন্য অস্বাস্থ্যকর,84.61538462,1.0
20731575,2244,"

ক্যাম্পাসগুলোতে ভিন্ন মতালম্বী সংগঠনকে কাজ করতে দিচ্ছে না ছাত্রলীগ : শিবির সভাপতি
",82.05128205,148.0
20730654,2244,"

রোহিঙ্গাদের প্রত্যাবাসনে ইন্দোনেশিয়া ও আইওএমের সহযোগিতার আহ্বান পররাষ্ট্রমন্ত্রীর
",82.05128205,148.0
20730658,2244,"

২১ রোজাই করা শিশু মালিহার পানিতে ডুবে মৃত্যু
",82.05128205,148.0
20730662,2244,"

কিডনি দিয়ে ছেলের প্রাণ রক্ষা করলেন বাবা
",82.05128205,148.0
20730206,2244,"

লাভলী রহমানের মৃত্যু, বিএনপির শোক
",82.05128205,148.0
20731576,2244,"

আল শিফা হাসপাতাল থেকে ৫০০ জনকে আটক করল ইসরাইল
",82.05128205,148.0
20730652,2244,"

ঈদের আগের মাসে রেমিট্যান্স প্রবাহে ভাটা
",82.05128205,148.0
20731577,2244,"

রাজধানীতে কিশোর গ্যাংয়ের ১৬ সদস্য আটক
",82.05128205,148.0
20730653,2244,"

জাতীয় বিশ্ববিদ্যালয় : অভিযুক্ত বড় মনিরকে অপসারণ
",82.05128205,148.0
20730207,2244,"

বিএনপির আইন সম্পাদকের বাবার মঙ্গলবার তৃতীয় মৃত্যুবার্ষিকী
",82.05128205,148.0
20730650,2244,"

ভুয়া ও এই ডামি নির্বাচন জনগণ প্রত্যাখ্যান করেছে : সাবেক স্বরাষ্ট্রমন্ত্রী
",82.05128205,148.0
20730645,2244,"

জলবায়ু অভিযোজনে প্রতি বছর ব্যয় ৩.৫ বিলিয়ন ডলার : পরিবেশমন্ত্রী
",82.05128205,148.0
20730212,2244,"

 ইসরাইল আল-শিফা থেকে সেনা প্রত্যাহার করেছে : হামাস
",82.05128205,148.0
